;Ferrovia;Linha;A;B;Extensão (km);x;AB;Instalada;Trens;Utilizada
23;EFPO;Guarapuava - Cascavel;SGU;SIB;25,358;;SGU - SIB;6,76173;3;0,443673439
24;EFPO;Guarapuava - Cascavel;SIB;SCB;23,041;;SIB - SCB;7,54951;3;0,397376783
25;EFPO;Guarapuava - Cascavel;SCB;SCA;24,912;;SCB - SCA;7,06909;3;0,424382771
26;EFVM;Ramal de Fábrica;VDD;VBV;19,053;;VDD - VBV;42,4678652;35,77;0,842283921
27;EFVM;Ramal de Fábrica;VBV;VJM;2,76;;VBV - VJM;52,08489731;34,9;0,670059879
28;EFVM;Ramal de Fábrica;VJM;VRP;13,671;;VJM - VRP;52,08489731;1;0,019199423
29;EFVM;Ramal de Fábrica;VRP;VBS;3,382;;VRP - VBS;58,86952684;35,04;0,595214568
30;EFVM;Ramal de Fábrica;VBS;OPT;6,612;;VBS - OPT;58,86952684;1;0,016986717
31;EFVM;Ramal de Fábrica;OPT;OFI;8,959;;OPT - OFI;58,86952684;1;0,016986717
32;EFVM;Ramal de Fábrica;OFI;VCS;7,699;;OFI - VCS;46,33421782;33,89;0,731424886
33;EFVM;Ramal de Fábrica;VCS;VAG;4,294;;VCS - VAG;36,68525956;5,39;0,146925497
34;EFVM;Ramal de Fábrica;VAG;VBT;10,143;;VAG - VBT;37,68172503;5,39;0,143040161
35;EFVM;Ramal de Fábrica;VBT;VFZ;13,074;;VBT - VFZ;23,50687383;5,39;0,229294633
36;EFVM;Ramal de Fábrica;VFZ;VAL;8,143;;VFZ - VAL;35,79689083;7,12;0,198899956
37;EFVM;Ramal de Fábrica;VAL;VTO;8,31;;VAL - VTO;32,88561926;7,12;0,21650801
38;EFVM;Ramal de Fábrica;VTO;VRV;12,82;;VTO - VRV;34,37757072;2,7;0,078539581
39;EFVM;Ramal de Fábrica;VRV;VFU;14,868;;VRV - VFU;23,0148974;2,7;0,117315318
40;EFVM;Ramal de Fábrica;VFU;VCB;8,088;;VFU - VCB;32,63567427;2,58;0,079054595
41;EFVM;Ramal de Fábrica;VCB;ELF;9,159;;VCB - ELF;18,63835635;2,58;0,138424223
42;EFVM;Ramal de Fábrica;ELF;VFM;13,062;;ELF - VFM;40,076608;0,54;0,013474194
43;EFVM;Ramal de Fábrica;VFM;VFA;2,458;;VFM - VFA;40,076608;0,54;0,013474194
44;EFVM;Piraqueaçu - Aracruz;VPA;VAZ;47;;VPA - VAZ;5,08917;2,61;0,512853766
45;EFVM;Porto Velho - Itabira;VPN;VFH;6,257;;VPN - VFH;16,72752;1;0,059781725
46;EFVM;Porto Velho - Itabira;VFH;VEA;6,154;;VFH - VEA;16,72752;3,25;0,194290606
47;EFVM;Porto Velho - Itabira;VEA;V03;2,393;;VEA - V03;30,99947;3,25;0,104840502
48;EFVM;Porto Velho - Itabira;V03;VAB;9,269;;V03 - VAB;76,2048;35,7;0,468474427
49;EFVM;Porto Velho - Itabira;VAB;VFN;27,219;;VAB - VFN;66,39054;35,56;0,535618478
50;EFVM;Porto Velho - Itabira;VFN;VAR;15,012;;VFN - VAR;66,39054;1;0,015062387
51;EFVM;Porto Velho - Itabira;VAR;VPA;8,723;;VAR - VPA;74,73056;35,56;0,475842815
52;EFVM;Porto Velho - Itabira;VPA;VCL;56,592;;VPA - VCL;83,62167;37,86;0,452753455
53;EFVM;Porto Velho - Itabira;VCL;VIA;20,536;;VCL - VIA;83,62167;1;0,011958623
54;EFVM;Porto Velho - Itabira;VIA;VMC;11,467;;VIA - VMC;75,0947;37,81;0,503497584
55;EFVM;Porto Velho - Itabira;VMC;VBG;10,957;;VMC - VBG;86,59636;37,81;0,436623433
56;EFVM;Porto Velho - Itabira;VBG;VAY;5,646;;VBG - VAY;83,4624;37,81;0,453018365
57;EFVM;Porto Velho - Itabira;VAY;VIU;20,775;;VAY - VIU;83,4624;1;0,011981443
58;EFVM;Porto Velho - Itabira;VIU;VRD;14,732;;VIU - VRD;69,36472;37,81;0,545089781
59;EFVM;Porto Velho - Itabira;VRD;VCN;16,305;;VRD - VCN;69,36472;1;0,014416551
60;EFVM;Porto Velho - Itabira;VCN;VCP;16,554;;VCN - VCP;66,62402;37,81;0,567513038
61;EFVM;Porto Velho - Itabira;VCP;VBC;13,277;;VCP - VBC;69,36472;1;0,014416551
62;EFVM;Porto Velho - Itabira;VBC;VST;7,797;;VBC - VST;69,36472;1;0,014416551
63;EFVM;Porto Velho - Itabira;VST;VTR;12,029;;VST - VTR;78,38597;37,81;0,482356728
64;EFVM;Porto Velho - Itabira;VTR;VGV;43,213;;VTR - VGV;80,4342;37,81;0,470073675
65;EFVM;Porto Velho - Itabira;VGV;VPC;36,132;;VGV - VPC;80,4342;1;0,012432522
66;EFVM;Porto Velho - Itabira;VPC;VFS;37,561;;VPC - VFS;71,71482;37,98;0,529597648
67;EFVM;Porto Velho - Itabira;VFS;VJC;28,728;;VFS - VJC;85,83302;37,58;0,437826841
68;EFVM;Porto Velho - Itabira;VJC;VIC;8,176;;VJC - VIC;46,45024;37,6;0,809468369
69;EFVM;Porto Velho - Itabira;VIC;VMR;13,824;;VIC - VMR;93,1302;41,52;0,445827454
70;EFVM;Porto Velho - Itabira;VMR;VAC;1,672;;VMR - VAC;93,1302;1;0,010737655
71;EFVM;Porto Velho - Itabira;VAC;VAD;30,596;;VAC - VAD;93,1302;1;0,010737655
72;EFVM;Porto Velho - Itabira;VAD;DDC;21,604;;VAD - DDC;53,79387;41,65;0,774251787
73;EFVM;Porto Velho - Itabira;DDC;VDD;4,034;;DDC - VDD;62,36761;41,65;0,667814592
74;EFVM;Porto Velho - Itabira;VDD;VLB;26,415;;VDD - VLB;78,52645;8,36;0,106460944
75;EFVM;Porto Velho - Itabira;VLB;VBF;6,65;;VLB - VBF;50,21149;16,84;0,335381404
76;EFVM;Porto Velho - Itabira;VBF;VIT;1,042;;VBF - VIT;14,88345;2,79;0,187456537
77;EFVM;Pedro Nolasco - Porto Velho;VPN;VPV;3;;VPN - VPV;16,72752;0,54;0,032282131
78;EFVM;Ramal Ouro Branco;ELF;VOB;15;;ELF - VOB;7,32214;1,72;0,234904003
79;EFVM;Costa Lacerda - Pedreira Rio das Velhas;VCS;VBR;17,036;;VCS - VBR;34,82307;27,82;0,798895675
80;EFVM;Costa Lacerda - Pedreira Rio das Velhas;VBR;VDI;6,017;;VBR - VDI;36,92288;19,51;0,528398651
81;EFVM;Costa Lacerda - Pedreira Rio das Velhas;VDI;VME;7;;VDI - VME;38,58729;19,51;0,505606898
82;EFVM;Costa Lacerda - Pedreira Rio das Velhas;VME;VGS;9,377;;VME - VGS;25,13145;19,51;0,776318119
83;EFVM;Costa Lacerda - Pedreira Rio das Velhas;VGS;VQT;8,827;;VGS - VQT;14,47581;14,48;1,000289448
84;EFVM;Costa Lacerda - Pedreira Rio das Velhas;VQT;VTE;9,543;;VQT - VTE;33,15762;19,51;0,588401701
85;EFVM;Costa Lacerda - Pedreira Rio das Velhas;VTE;VDO;8,272;;VTE - VDO;32,89756;19,51;0,593053102
86;EFVM;Costa Lacerda - Pedreira Rio das Velhas;VDO;VWI;10,428;;VDO - VWI;12,67987;12,68;1,000010252
87;EFVM;Ramal Tubarão;V03;VTU;12,411;;V03 - VTU;10,25828;1;0,097482229
88;EFVM;Ramal João Paulo;VBF;VJP;4,17;;VBF - VJP;10,25828;6,29;0,61316322
89;EFVM;Ramal Conceição;VBF;VCE;5,607;;VBF - VCE;11,83911;8,25;0,696842921
90;FCA;Ramal Complexo Mineral de Araxá;EYF;ETF;9,82;;EYF - ETF;12,54524;2,47;0,196887425
91;FCA;Sub-Ramal de Volta Redonda;EBM;EKK;3;;EBM - EKK;12,77333;0;0
92;FCA;Eng. Bhering - Garças de Minas;EEB;ELS;5,104;;EEB - ELS;32,72671;2,83;0,086473709
93;FCA;Eng. Bhering - Garças de Minas;ELS;ERV;9,065;;ELS - ERV;19,12957;2,83;0,147938506
94;FCA;Eng. Bhering - Garças de Minas;ERV;EPE;19,939;;ERV - EPE;8,89189;2,83;0,318267545
95;FCA;Eng. Bhering - Garças de Minas;EPE;EKV;18,389;;EPE - EKV;11,50123;2,83;0,246060639
96;FCA;Eng. Bhering - Garças de Minas;EKV;ESM;17,765;;EKV - ESM;17,99061;2,83;0,157304283
97;FCA;Eng. Bhering - Garças de Minas;ESM;ECB;2,431;;ESM - ECB;17,99061;2,83;0,157304283
98;FCA;Eng. Bhering - Garças de Minas;ECB;ECX;25,023;;ECB - ECX;9,12875;2,83;0,310009585
99;FCA;Eng. Bhering - Garças de Minas;ECX;EBG;18,292;;ECX - EBG;12,25171;2,83;0,230988164
100;FCA;Eng. Bhering - Garças de Minas;EBG;E69;11,536;;EBG - E69;19,23432;2,83;0,147132833
101;FCA;Eng. Bhering - Garças de Minas;E69;ETI;8,354;;E69 - ETI;19,23432;2,83;0,147132833
102;FCA;Eng. Bhering - Garças de Minas;ETI;E68;17,982;;ETI - E68;18,7885;2,83;0,150624052
103;FCA;Eng. Bhering - Garças de Minas;E68;EFG;2,44;;E68 - EFG;18,7885;2,83;0,150624052
104;FCA;Eng. Bhering - Garças de Minas;EFG;E13;11,356;;EFG - E13;27,08128;2,83;0,10450023
105;FCA;Eng. Bhering - Garças de Minas;E13;EAO;19,025;;E13 - EAO;8,67414;2,83;0,326257128
106;FCA;Eng. Bhering - Garças de Minas;EAO;E67;20,092;;EAO - E67;14,36918;0,28;0,01948615
107;FCA;Eng. Bhering - Garças de Minas;E67;EGS;8,293;;E67 - EGS;12,83752;0,28;0,021811066
108;FCA;Eng. Bhering - Divinópolis;EEB;EMW;17,98;;EEB - EMW;4,70315;0;0
109;FCA;Eng. Bhering - Divinópolis;EMW;EBS;26,837;;EMW - EBS;4,85678;0;0
110;FCA;Eng. Bhering - Divinópolis;EBS;ETR;23,909;;EBS - ETR;5,11057;0;0
111;FCA;Eng. Bhering - Divinópolis;ETR;EOL;30,02;;ETR - EOL;3,93466;0;0
112;FCA;Eng. Bhering - Divinópolis;EOL;ECM;25,424;;EOL - ECM;4,32972;0;0
113;FCA;Eng. Bhering - Divinópolis;ECM;EGF;13,168;;ECM - EGF;9,29584;0;0
114;FCA;Eng. Bhering - Divinópolis;EGF;EWD;26,965;;EGF - EWD;4,40551;0;0
115;FCA;Eng. Bhering - Divinópolis;EWD;EDV;11,177;;EWD - EDV;12,70978;0;0
116;FCA;General Carneiro - Monte Azul;EGC;VWI;3;;EGC - VWI;0;0;0
117;FCA;General Carneiro - Monte Azul;VWI;ECE;6,532;;VWI - ECE;0;0;0
118;FCA;General Carneiro - Monte Azul;ECE;ECA;6,532;;ECE - ECA;0;0;0
119;FCA;General Carneiro - Monte Azul;ECA;ERE;12,981;;ECA - ERE;21,95417;3,91;0,178098284
120;FCA;General Carneiro - Monte Azul;ERE;EVP;6,292;;ERE - EVP;19,8596;3,91;0,196882112
121;FCA;General Carneiro - Monte Azul;EVP;ENG;5,148;;EVP - ENG;25,86806;3,9;0,150765075
122;FCA;General Carneiro - Monte Azul;ENG;ELD;10,064;;ENG - ELD;20,97636;3,61;0,172098496
123;FCA;General Carneiro - Monte Azul;ELD;EPL;5,519;;ELD - EPL;34,79324;3,53;0,10145649
124;FCA;General Carneiro - Monte Azul;EPL;EWL;5,609;;EPL - EWL;24,93464;3,53;0,141570121
125;FCA;General Carneiro - Monte Azul;EWL;EMS;4,828;;EWL - EMS;34,57917;3,34;0,096589941
126;FCA;General Carneiro - Monte Azul;EMS;EPM;13,54;;EMS - EPM;15,00071;2,78;0,185324561
127;FCA;General Carneiro - Monte Azul;EPM;ESL;12,335;;EPM - ESL;22,0345;1,33;0,06035989
128;FCA;General Carneiro - Monte Azul;ESL;ESX;21,944;;ESL - ESX;7,40353;1,33;0,179644035
129;FCA;General Carneiro - Monte Azul;ESX;EAI;22,267;;ESX - EAI;7,00141;1,33;0,189961736
130;FCA;General Carneiro - Monte Azul;EAI;EOR;14,92;;EAI - EOR;7,96297;1,33;0,167023108
131;FCA;General Carneiro - Monte Azul;EOR;EMX;26,274;;EOR - EMX;6,01741;1,33;0,221025325
132;FCA;General Carneiro - Monte Azul;EMX;ECV;27,556;;EMX - ECV;6,6533;1,33;0,199900801
133;FCA;General Carneiro - Monte Azul;ECV;EOA;32,334;;ECV - EOA;5,9086;1,33;0,225095623
134;FCA;General Carneiro - Monte Azul;EOA;ECO;22,543;;EOA - ECO;8,04658;1,33;0,165287613
135;FCA;General Carneiro - Monte Azul;ECO;EAA;17,052;;ECO - EAA;11,9665;0,9;0,075209961
136;FCA;General Carneiro - Monte Azul;EAA;EAL;28,004;;EAA - EAL;7,72722;0,9;0,116471383
137;FCA;General Carneiro - Monte Azul;EAL;EBL;32,045;;EAL - EBL;6,98632;0,9;0,128823186
138;FCA;General Carneiro - Monte Azul;EBL;EJF;16,149;;EBL - EJF;12,53218;0,9;0,071815119
139;FCA;General Carneiro - Monte Azul;EJF;EKT;15,875;;EJF - EKT;19,70641;0,9;0,045670419
140;FCA;General Carneiro - Monte Azul;EKT;EBP;16,125;;EKT - EBP;19,43832;0,9;0,046300298
141;FCA;General Carneiro - Monte Azul;EBP;EEO;11,655;;EBP - EEO;7,85099;0,9;0,114635224
142;FCA;General Carneiro - Monte Azul;EEO;EEN;25;;EEO - EEN;7,48238;0,9;0,120282584
143;FCA;General Carneiro - Monte Azul;EEN;EBV;31,32;;EEN - EBV;6,0472;0,9;0,14882921
144;FCA;General Carneiro - Monte Azul;EBV;EEA;28,49;;EBV - EEA;7,18826;0,9;0,125204152
145;FCA;General Carneiro - Monte Azul;EEA;EGL;13,059;;EEA - EGL;9,56153;0,9;0,094127195
146;FCA;General Carneiro - Monte Azul;EGL;EMC;28,909;;EGL - EMC;5,51367;0,9;0,163230661
147;FCA;General Carneiro - Monte Azul;EMC;ENA;24,14;;EMC - ENA;8,76159;0,9;0,102721081
148;FCA;General Carneiro - Monte Azul;ENA;EEZ;39;;ENA - EEZ;6,0764;0,9;0,148114015
149;FCA;General Carneiro - Monte Azul;EEZ;EON;20,04;;EEZ - EON;8,77892;0,9;0,102518305
150;FCA;General Carneiro - Monte Azul;EON;EEM;21,01;;EON - EEM;8,69024;0,9;0,103564459
151;FCA;General Carneiro - Monte Azul;EEM;EJN;42,71;;EEM - EJN;4,37647;0,9;0,205645189
152;FCA;General Carneiro - Monte Azul;EJN;ETO;25,079;;EJN - ETO;7,08377;0,9;0,127050991
153;FCA;General Carneiro - Monte Azul;ETO;EYP;18,18;;ETO - EYP;10,06134;0,9;0,089451306
154;FCA;General Carneiro - Monte Azul;EYP;EEW;22,069;;EYP - EEW;8,17057;0,9;0,110151434
155;FCA;General Carneiro - Monte Azul;EEW;EMA;25,94;;EEW - EMA;8,13666;0,9;0,110610496
156;FCA;Garças de Minas - Calafate;EGS;EDS;19,147;;EGS - EDS;10,80543;3,57;0,330389443
157;FCA;Garças de Minas - Calafate;EDS;ELX;2;;EDS - ELX;18,45534;3,57;0,193439947
158;FCA;Garças de Minas - Calafate;ELX;ELP;8,483;;ELX - ELP;18,45534;3,57;0,193439947
159;FCA;Garças de Minas - Calafate;ELP;EEJ;15,176;;ELP - EEJ;18,63484;3,57;0,191576638
160;FCA;Garças de Minas - Calafate;EEJ;EMG;10,137;;EEJ - EMG;17,24714;3,57;0,20699084
161;FCA;Garças de Minas - Calafate;EMG;EFY;10,178;;EMG - EFY;20,54191;3,57;0,173791045
162;FCA;Garças de Minas - Calafate;EFY;ESA;7,724;;EFY - ESA;23,7744;3,57;0,150161518
163;FCA;Garças de Minas - Calafate;ESA;EFB;12,913;;ESA - EFB;13,22623;3,57;0,269918185
164;FCA;Garças de Minas - Calafate;EFB;EAF;18,283;;EFB - EAF;20,82609;3,57;0,171419599
165;FCA;Garças de Minas - Calafate;EAF;EDY;14,185;;EAF - EDY;13,59303;3,57;0,2626346
166;FCA;Garças de Minas - Calafate;EDY;EED;10,442;;EDY - EED;20,91914;3,57;0,170657111
167;FCA;Garças de Minas - Calafate;EED;EDV;13,665;;EED - EDV;11,91413;3,57;0,299644204
168;FCA;Garças de Minas - Calafate;EDV;EHT;9,35;;EDV - EHT;18,80988;3,8;0,202021491
169;FCA;Garças de Minas - Calafate;EHT;ECJ;9,009;;EHT - ECJ;14,76814;3,8;0,25731067
170;FCA;Garças de Minas - Calafate;ECJ;EYE;5,243;;ECJ - EYE;25,50031;3,8;0,149017796
171;FCA;Garças de Minas - Calafate;EYE;EAG;10,16;;EYE - EAG;19,59647;3,8;0,193912475
172;FCA;Garças de Minas - Calafate;EAG;EGD;5,935;;EAG - EGD;28,53893;3,8;0,133151453
173;FCA;Garças de Minas - Calafate;EGD;ESS;11,494;;EGD - ESS;13,40712;3,8;0,28343149
174;FCA;Garças de Minas - Calafate;ESS;EEQ;8,556;;ESS - EEQ;21,59426;3,8;0,175972689
175;FCA;Garças de Minas - Calafate;EEQ;ESQ;11,4;;EEQ - ESQ;13,93915;3,8;0,272613466
176;FCA;Garças de Minas - Calafate;ESQ;EZU;6,784;;ESQ - EZU;24,15588;4,72;0,19539756
177;FCA;Garças de Minas - Calafate;EZU;EML;7,672;;EZU - EML;24,25317;4,72;0,194613735
178;FCA;Garças de Minas - Calafate;EML;EJU;9,611;;EML - EJU;22,55324;4,72;0,209282569
179;FCA;Garças de Minas - Calafate;EJU;EVN;11,794;;EJU - EVN;12,40129;4,72;0,380605566
180;FCA;Garças de Minas - Calafate;EVN;ECN;10,901;;EVN - ECN;16,96258;4,72;0,278259557
181;FCA;Garças de Minas - Calafate;ECN;EYB;8,647;;ECN - EYB;18,20821;4,72;0,259223724
182;FCA;Garças de Minas - Calafate;EYB;EYU;4,59;;EYB - EYU;41,67644;4,72;0,113253435
183;FCA;Garças de Minas - Calafate;EYU;EBO;4,451;;EYU - EBO;29,39525;5,2;0,176899329
184;FCA;Garças de Minas - Calafate;EBO;EEL;7,045;;EBO - EEL;27,2916;5,2;0,190534817
185;FCA;Garças de Minas - Calafate;EEL;ECL;5,503;;EEL - ECL;14,79018;5,69;0,384714723
186;FCA;Garças de Minas - Araguari;EGS;EDH;10,44;;EGS - EDH;20,24116;3,29;0,162540092
187;FCA;Garças de Minas - Araguari;EDH;EFP;13,314;;EDH - EFP;14,65763;3,29;0,224456478
188;FCA;Garças de Minas - Araguari;EFP;EAW;14,877;;EFP - EAW;11,06933;3,29;0,297217627
189;FCA;Garças de Minas - Araguari;EAW;EBY;16,101;;EAW - EBY;12,57518;3,29;0,261626474
190;FCA;Garças de Minas - Araguari;EBY;EMD;9,868;;EBY - EMD;20,44229;3,29;0,160940873
191;FCA;Garças de Minas - Araguari;EMD;ETH;11,046;;EMD - ETH;19,77111;3,29;0,166404415
192;FCA;Garças de Minas - Araguari;ETH;ETG;16,354;;ETH - ETG;13,64142;3,29;0,241177238
193;FCA;Garças de Minas - Araguari;ETG;EUR;12,22;;ETG - EUR;12,78883;3,29;0,257255746
194;FCA;Garças de Minas - Araguari;EUR;ECP;11,36;;EUR - ECP;17,53411;3,29;0,187634274
195;FCA;Garças de Minas - Araguari;ECP;EIY;11,5;;ECP - EIY;21,77273;3,29;0,151106453
196;FCA;Garças de Minas - Araguari;EIY;EPH;12,059;;EIY - EPH;19,95834;3,29;0,164843369
197;FCA;Garças de Minas - Araguari;EPH;ETY;13,57;;EPH - ETY;13,05824;3,29;0,251948195
198;FCA;Garças de Minas - Araguari;ETY;EKM;13,99;;ETY - EKM;14,34717;3,29;0,229313516
199;FCA;Garças de Minas - Araguari;EKM;EIA;13,14;;EKM - EIA;11,4295;3,29;0,287851612
200;FCA;Garças de Minas - Araguari;EIA;EOM;13,84;;EIA - EOM;14,34717;5,76;0,401472904
201;FCA;Garças de Minas - Araguari;EOM;EGB;19,7;;EOM - EGB;11,77101;5,76;0,489337788
202;FCA;Garças de Minas - Araguari;EGB;EJR;8,206;;EGB - EJR;21,88578;5,76;0,263184588
203;FCA;Garças de Minas - Araguari;EJR;ECT;15,63;;EJR - ECT;14,53016;5,76;0,396416832
204;FCA;Garças de Minas - Araguari;ECT;EDZ;15,211;;ECT - EDZ;14,24535;5,76;0,40434247
205;FCA;Garças de Minas - Araguari;EDZ;ELI;10,103;;EDZ - ELI;15,00071;5,76;0,383981825
206;FCA;Garças de Minas - Araguari;ELI;ETP;4,75;;ELI - ETP;12,21797;5,76;0,471436744
207;FCA;Garças de Minas - Araguari;ETP;EBA;12,2;;ETP - EBA;12,90222;3,29;0,254994877
208;FCA;Garças de Minas - Araguari;EBA;EPC;14,598;;EBA - EPC;12,46916;3,29;0,263850973
209;FCA;Garças de Minas - Araguari;EPC;EQI;12,603;;EPC - EQI;15,45161;3,29;0,212922796
210;FCA;Garças de Minas - Araguari;EQI;EFO;12,58;;EQI - EFO;13,4714;3,29;0,244221091
211;FCA;Garças de Minas - Araguari;EFO;ESK;20,971;;EFO - ESK;9,53234;3,29;0,345140857
212;FCA;Garças de Minas - Araguari;ESK;EYD;12,809;;ESK - EYD;22,44516;3,29;0,146579485
213;FCA;Garças de Minas - Araguari;EYD;EAY;39,912;;EYD - EAY;8,35024;3,29;0,394000651
214;FCA;Garças de Minas - Araguari;EAY;EJT;30;;EAY - EJT;10,89593;3,29;0,301947608
215;FCA;Garças de Minas - Araguari;EJT;EBJ;27;;EJT - EBJ;13,29223;3,29;0,247513021
216;FCA;Garças de Minas - Araguari;EBJ;EAU;10,897;;EBJ - EAU;19,63701;0,28;0,01425879
217;FCA;Ibia - Uberaba;EIA;EPK;33,43;;EIA - EPK;7,31044;2,47;0,33787296
218;FCA;Ibia - Uberaba;EPK;ETM;25,21;;EPK - ETM;4,74337;2,47;0,520726825
219;FCA;Ibia - Uberaba;ETM;EAX;29,222;;ETM - EAX;5,55545;2,47;0,444608448
220;FCA;Ibia - Uberaba;EAX;EYF;8,529;;EAX - EYF;13,72135;2,47;0,180011442
221;FCA;Ibia - Uberaba;EYF;EIM;19,471;;EYF - EIM;8,86291;0;0
222;FCA;Ibia - Uberaba;EIM;EIU;13,956;;EIM - EIU;8,86291;0;0
223;FCA;Ibia - Uberaba;EIU;ERT;22;;EIU - ERT;8,5858;0;0
224;FCA;Ibia - Uberaba;ERT;EZE;17,284;;ERT - EZE;8,5858;0;0
225;FCA;Ibia - Uberaba;EZE;EAD;22,692;;EZE - EAD;6,35393;0;0
226;FCA;Ibia - Uberaba;EAD;EBT;46,846;;EAD - EBT;2,95451;0;0
227;FCA;Ibia - Uberaba;EBT;ZUB;22,8;;EBT - ZUB;6,29604;0;0
228;FCA;Três Corações - Eng. Bhering;ETC;EIP;18;;ETC - EIP;7,04294;0;0
229;FCA;Três Corações - Eng. Bhering;EIP;ECC;23,02;;EIP - ECC;5,56756;0;0
230;FCA;Três Corações - Eng. Bhering;ECC;EFI;26,415;;ECC - EFI;4,04258;0;0
231;FCA;Três Corações - Eng. Bhering;EFI;EOP;21,565;;EFI - EOP;5,852;0;0
232;FCA;Três Corações - Eng. Bhering;EOP;EEB;5;;EOP - EEB;23,05278;0;0
233;FCA;Três Corações - Varginha;ETC;EVG;36,345;;ETC - EVG;4,53247;0;0
234;FCA;Miguel Burnier - General Carneiro (Linha do Centro);EMP;ERA;52,762;;EMP - ERA;16,25962;0;0
235;FCA;Miguel Burnier - General Carneiro (Linha do Centro);ERA;ESR;31,731;;ERA - ESR;16,25962;0;0
236;FCA;Miguel Burnier - General Carneiro (Linha do Centro);ESR;EGC;7,476;;ESR - EGC;16,25962;0;0
237;FCA;Ramal Ponte Nova;EMP;ELF;3,234;;EMP - ELF;15,01942;0;0
238;FCA;Ramal Ponte Nova;ELF;GOP;39,121;;ELF - GOP;16,25962;0;0
239;FCA;Ramal Ponte Nova;GOP;GMN;17,664;;GOP - GMN;16,25962;0;0
240;FCA;Ramal Ponte Nova;GMN;GPV;86,05;;GMN - GPV;16,25962;0;0
241;FCA;Boa Vista Nova - Casa Branca;ZBL;ZOP;10,358;;ZBL - ZOP;26,47951;11,44;0,432032164
242;FCA;Boa Vista Nova - Casa Branca;ZOP;ZJJ;18,512;;ZOP - ZJJ;12,65221;7,5;0,592781814
243;FCA;Boa Vista Nova - Casa Branca;ZJJ;ZGE;4,36;;ZJJ - ZGE;22,46909;7,5;0,333791889
244;FCA;Boa Vista Nova - Casa Branca;ZGE;ZXD;9,462;;ZGE - ZXD;22,46909;7,5;0,333791889
245;FCA;Boa Vista Nova - Casa Branca;ZXD;ZKF;11;;ZXD - ZKF;19,11655;7,5;0,392330206
246;FCA;Boa Vista Nova - Casa Branca;ZKF;ZMM;9,194;;ZKF - ZMM;19,11655;7,5;0,392330206
247;FCA;Boa Vista Nova - Casa Branca;ZMM;ZMG;8,35;;ZMM - ZMG;13,99004;7,5;0,536095679
248;FCA;Boa Vista Nova - Casa Branca;ZMG;ZEA;13;;ZMG - ZEA;11,70699;7,5;0,640642898
249;FCA;Boa Vista Nova - Casa Branca;ZEA;ZMQ;13,389;;ZEA - ZMQ;13,6062;7,5;0,551219297
250;FCA;Boa Vista Nova - Casa Branca;ZMQ;ZAI;11,811;;ZMQ - ZAI;28,17648;7,3;0,259081333
251;FCA;Boa Vista Nova - Casa Branca;ZAI;ZON;15;;ZAI - ZON;26,72924;6,99;0,261511364
252;FCA;Boa Vista Nova - Casa Branca;ZON;ZLB;10,408;;ZON - ZLB;26,72924;6,99;0,261511364
253;FCA;Boa Vista Nova - Casa Branca;ZLB;ZCB;17,434;;ZLB - ZCB;10,16691;6,99;0,687524528
254;FCA;Ramal Replan;ZOP;ZZZ;9,124;;ZOP - ZZZ;10,10476;3,87;0,38298782
255;FCA;Bonfim - Campo Formoso;DBO;DGS;21,639;;DBO - DGS;4,35927;0,23;0,052761127
256;FCA;Bonfim - Campo Formoso;DGS;DCF;8,738;;DGS - DCF;6,01012;0,23;0,038268787
257;FCA;Mapele - Monte Azul;DMP;DXZ;5,224;;DMP - DXZ;25,8522;0,08;0,003094514
258;FCA;Mapele - Monte Azul;DXZ;DFG;4,206;;DXZ - DFG;25,8522;0,08;0,003094514
259;FCA;Mapele - Monte Azul;DFG;DPA;1,244;;DFG - DPA;49,01396;0,08;0,001632188
260;FCA;Mapele - Monte Azul;DPA;DDM;6,422;;DPA - DDM;17,07942;0,64;0,037471998
261;FCA;Mapele - Monte Azul;DDM;DCS;4,698;;DDM - DCS;24,50698;0,64;0,026115009
262;FCA;Mapele - Monte Azul;DCS;DTC;3,43;;DCS - DTC;42,92465;0,64;0,014909848
263;FCA;Mapele - Monte Azul;DTC;DBH;21,884;;DTC - DBH;6,06503;0,64;0,105522974
264;FCA;Mapele - Monte Azul;DBH;DTE;5,116;;DBH - DTE;22,30855;0,64;0,028688552
265;FCA;Mapele - Monte Azul;DTE;DWR;5,512;;DTE - DWR;22,30855;0,64;0,028688552
266;FCA;Mapele - Monte Azul;DWR;DGX;21,488;;DWR - DGX;9,82564;0,64;0,065135706
267;FCA;Mapele - Monte Azul;DGX;DDT;7,57;;DGX - DDT;9,82564;0,64;0,065135706
268;FCA;Mapele - Monte Azul;DDT;DQF;14,828;;DDT - DQF;9,43103;0,64;0,067861093
269;FCA;Mapele - Monte Azul;DQF;D23;14,602;;DQF - D23;11,18238;0,64;0,057232897
270;FCA;Mapele - Monte Azul;D23;DSX;2,205;;D23 - DSX;11,18238;0,64;0,057232897
271;FCA;Mapele - Monte Azul;DSX;DZD;5,205;;DSX - DZD;21,00773;0,64;0,030464976
272;FCA;Mapele - Monte Azul;DZD;DEM;13,59;;DZD - DEM;9,51297;0,64;0,067276571
273;FCA;Mapele - Monte Azul;DEM;DVE;22,456;;DEM - DVE;9,51297;0,64;0,067276571
274;FCA;Mapele - Monte Azul;DVE;DVS;25,664;;DVE - DVS;6,24335;0,64;0,10250907
