;Ferrovia;Linha;A;B;Extensão (km);x;AB;Instalada;Trens;Utilizada
1400;RMS;Cruz Alta - Santo Ângelo;NFM;NAN;25,421;;NFM - NAN;4,80117;1,7;0,35408036
1401;RMS;Cruz Alta - Santo Ângelo;NAN;NIJ;12,531;;NAN - NIJ;5,08784;1,7;0,334130004
1402;RMS;Cruz Alta - Santo Ângelo;NIJ;NCT;22,572;;NIJ - NCT;3,77767;0,5;0,132356717
1403;RMS;Cruz Alta - Santo Ângelo;NCT;NMI;18,527;;NCT - NMI;5,91281;0,5;0,084562162
1404;RMS;Cruz Alta - Santo Ângelo;NMI;NSN;13,42;;NMI - NSN;9,2857;0,5;0,053846237
1405;RMS;Cruz Alta - Passo Fundo;NSO;NCA;14,781;;NSO - NCA;11,607;1;0,086154907
1406;RMS;Cruz Alta - Passo Fundo;NCA;NPU;29,081;;NCA - NPU;7,02506;1;0,142347539
1407;RMS;Cruz Alta - Passo Fundo;NPU;NPF;25,477;;NPU - NPF;10,33514;1;0,096757277
1408;RMS;Diretor Pestana - Triângulo;NDP;NCS;8,359;;NDP - NCS;17,70907;0,2;0,011293648
1409;RMS;Diretor Pestana - Triângulo;NCS;NTI;6,009;;NCS - NTI;22,31863;0,2;0,008961124
1410;RMS;General Luz - Roca Sales;NGL;NOV;7,77;;NGL - NOV;22,23137;2,1;0,094461115
1411;RMS;General Luz - Roca Sales;NOV;NMN;17,94;;NOV - NMN;9,55583;2,1;0,21976113
1412;RMS;General Luz - Roca Sales;NMN;NBJ;15,263;;NMN - NBJ;11,12774;2,1;0,188717565
1413;RMS;General Luz - Roca Sales;NBJ;NPV;21,613;;NBJ - NPV;7,41027;2,1;0,283390484
1414;RMS;General Luz - Roca Sales;NPV;NOR;20,454;;NPV - NOR;7,55778;2,1;0,277859371
1415;RMS;General Luz - Roca Sales;NOR;NRO;16,818;;NOR - NRO;10,07657;2,1;0,208404249
1416;RMS;Pátio Industrial - Rio Pardo;NPY;N01;0,84;;NPY - N01;24,99697;2,8;0,112013576
1417;RMS;Pátio Industrial - Rio Pardo;N01;NTI;6,874;;N01 - NTI;24,99697;2,8;0,112013576
1418;RMS;Pátio Industrial - Rio Pardo;NTI;NVJ;4,449;;NTI - NVJ;27,03173;2,8;0,103581976
1419;RMS;Pátio Industrial - Rio Pardo;NVJ;NGL;10,151;;NVJ - NGL;15,39456;2,8;0,181882431
1420;RMS;Pátio Industrial - Rio Pardo;NGL;NFN;14,296;;NGL - NFN;10,47182;0,9;0,085944946
1421;RMS;Pátio Industrial - Rio Pardo;NFN;NGN;11,47;;NFN - NGN;13,55043;0,9;0,066418556
1422;RMS;Pátio Industrial - Rio Pardo;NGN;NBT;11,166;;NGN - NBT;15,17514;0,9;0,059307525
1423;RMS;Pátio Industrial - Rio Pardo;NBT;NAR;9,937;;NBT - NAR;11,30782;0,9;0,079590938
1424;RMS;Pátio Industrial - Rio Pardo;NAR;NAP;19,477;;NAR - NAP;7,58099;0,9;0,118718004
1425;RMS;Pátio Industrial - Rio Pardo;NAP;NPR;21,295;;NAP - NPR;6,40432;0,9;0,140530142
1426;RMS;Pátio Industrial - Rio Pardo;NPR;NMX;9,105;;NPR - NMX;12,4793;0,9;0,07211943
1427;RMS;Pátio Industrial - Rio Pardo;NMX;NRA;19,323;;NMX - NRA;7,39935;0,9;0,121632306
1428;RMS;Pátio Industrial - Rio Pardo;NRA;NRP;3,132;;NRA - NRP;37,37526;0,9;0,0240801
1429;RMS;Roca Sales - Passo Fundo;NRO;NMU;14,436;;NRO - NMU;13,25958;0,7;0,052792019
1430;RMS;Roca Sales - Passo Fundo;NMU;NDL;27,167;;NMU - NDL;6,72617;0,7;0,104071113
